Community,Contract-Waiting_Drafting,Contract-Waiting_Eng_or_Plat,Contract-Waiting_Permit,Permit&Hold-Waiting_Drafting,Permit&Hold-Waiting_Eng_or_Plat,Permit&Hold-Waiting_Permit,Community Totals
Womack,0,0,0,0,3,1,4
Readers Branch,0,0,0,5,4,6,15
Parke @ Westport,0,0,0,0,1,1,2
West Broad Village Eastern Edge,0,0,0,0,2,0,2
The Preserve,0,0,0,2,2,0,4
The Preserve TH,0,0,0,0,0,9,9
Brunswick,0,0,0,0,3,4,7
The Meadows,0,0,0,0,0,1,1
Readers Branch TH,0,0,0,0,0,0,0
Sweetspire,0,0,0,1,0,3,4
Foushee,0,0,0,0,0,0,0
The Preserve Duplex,0,0,0,2,0,0,2
