Created At,Created By,Community,Lot Number,Project_id,Project_uid,Section Number,Contract Date,Contract Type,Sales Agent,Selections Finished On,Lot Status Finished,Lot Status Released,Contract Date,Contract Type,Product Name,Elevation Name,Drafting Drafter,Drafting Assigned On,Drafting Finished,Engineering Engineer,Engineering Sent,Engineering Received,Plat Engineer,Plat Sent,Plat Received,Permitting County Name,Permitting Submitted,Permitting Received,Homesiting Completed By,Homesiting Completed On,BBP Posted,Notes
2023-11-06 13:43:31.043000,,BHC Armstrong,41 & 42,AS--41 & 42,1af1bcdc-0184-42ce-aa3f-c149856ce1be,,,,,,True,False,,,BHC 18H,NONE,R.Arias,2022-06-15,2022-06-15,Struc Tech,2022-08-11,2022-04-29,Koontz,,2022-05-17,Richmond,2022-05-19,2022-10-12,,,2022-10-12,
2023-11-06 13:43:31.044000,,BHC Armstrong,52,AS--52,a79f0d25-7d0a-4b7d-99d1-bcd0b894e799,,,,,,True,False,,,BHC 22E,NONE,R.Arias,2022-06-15,2022-06-15,Struc Tech,2022-08-11,2022-04-29,Koontz,2022-12-10,2022-05-17,Richmond,2022-05-19,2022-10-05,,,2022-10-05,
2023-11-06 13:43:31.045000,,GreenGate Villas,10,GV-HOMEARAMA-10,e9cf86b5-10de-44e1-bca3-b521ef9f18bf,HOMEARAMA,,,,,True,False,,,CUSTOM,CUSTOM,K.Fadl,,,HBS,,,Bay Design,2022-05-10,2022-05-24,Henrico,2022-05-24,2022-06-09,,,2022-06-09,Eagle Homearama House
2023-11-06 13:43:31.044000,,GreenGate,9-12,GG-PS5-9-12,b843bd2b-b0a8-4a37-aa3b-e80eed964d91,PS5,,,,,True,False,,,NONE,NONE,Y.Wang,2022-03-07,2022-03-10,HBS,2022-03-15,2022-04-04,Bay Design,2022-04-04,2022-04-25,Henrico,2022-04-29,2022-05-16,,,2022-05-17,
2023-11-06 13:43:31.047000,,BHC Armstrong,43&44,AS-2-43&44,035fb772-5ce3-44c5-b291-7f12379f34a3,2,,,,,True,False,,,BHC 22F,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-14,,,2023-03-15,
2023-11-06 13:43:31.047000,,BHC Armstrong,73&74,AS-2-73&74,10aef1f0-35f4-4713-a920-a659fe06322a,2,,,,,True,False,,,BHC 22G,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-14,,,2023-03-14,
2023-11-06 13:43:31.047000,,BHC Armstrong,61&62,AS-2-61&62,53206783-4f68-4c5f-bb05-2571a539a52d,2,,,,,True,False,,,BHC 22F,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-13,,,2023-03-13,
2023-11-06 13:43:31.047000,,BHC Armstrong,75,AS-2-75,45d2b38b-f3e3-41fc-a634-7973421aac6f,2,,,,,True,False,,,BHC 22E,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-15,,,2023-03-15,
2023-11-06 13:43:31.047000,,BHC Armstrong,77,AS-2-77,836cbec1-d5df-4cfa-9e83-b8fc321336aa,2,,,,,True,False,,,BHC 22D,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-15,,,2023-03-16,
2023-11-06 13:43:31.047000,,BHC Armstrong,60,AS-2-60,e7ead00c-dcb5-46af-a767-9d201e898efb,2,,,,,True,False,,,BHC 22C,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-13,,,2023-03-10,
2023-11-06 13:43:31.047000,,BHC Armstrong,58&59,AS-2-58&59,67abc1a8-299a-4a7f-a1b3-1f652ade559a,2,,,,,True,False,,,BHC 22G,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-13,,,2023-03-10,
2023-11-06 13:43:31.047000,,BHC Armstrong,63,AS-2-63,609243cc-1858-4f8b-b9ec-7effe023d148,2,,,,,True,False,,,BHC 22B,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Blacksburg,2023-02-14,2023-03-09,,,2023-04-17,
2023-11-06 13:43:31.047000,,BHC Armstrong,76,AS-2-76,dc7151b3-3086-4b8d-b795-619350014e1f,2,,,,,True,False,,,BHC 22C,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2023-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-15,,,2023-03-15,
2023-11-06 13:43:31.047000,,The Blufftons,23,BF-0-23,ba341195-811d-4a6f-8558-e9c63982c1df,0,,,,,True,False,,,The Palmetto,CUSTOM,K.Fadl,2022-11-16,2022-11-16,HBS,2022-11-16,2022-12-13,EDA,2022-11-16,2022-12-09,Goochland,2022-12-21,2023-01-10,,,2023-06-06,
2023-11-06 13:43:31.046000,,BHC Armstrong,56 & 57,AS--56 & 57,c2642e79-c502-4034-800e-4cff6bf859c4,,,,,,True,False,,,BHC 18H,NONE,R.Arias,2022-06-15,2022-06-15,Struc Tech,2022-08-11,2022-04-29,NONE,,2022-05-16,Richmond,2022-05-16,2022-10-11,,,2022-10-12,
2023-11-06 13:43:31.047000,,BHC Armstrong,78,AS-2-78,4b307b9d-35a9-491f-aa59-8b2c30550abc,2,,,,,True,False,,,BHC 22B,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-29,,,2023-04-17,
2023-11-06 13:43:31.046000,,BHC Armstrong,47 & 48,AS--47 & 48,b9ceecdd-1623-4507-a661-6701419db783,,,,,,True,False,,,BHC 18G,NONE,R.Arias,2022-06-15,2022-06-15,Struc Tech,2022-08-11,2022-04-29,Koontz,,2022-05-17,Richmond,2022-05-16,2022-10-11,,,2022-10-12,
2023-11-06 13:43:31.046000,,The Blufftons,20,BF-0-20,4d8a9e75-005f-4b8b-b823-e610616d2d69,0,,,,,True,False,,,Diane's Farmhouse,CUSTOM,K.Fadl,2023-01-04,2023-01-04,HBS,2023-01-04,2023-01-30,EDA,2023-01-18,2023-01-23,Goochland,,,,,,hold
2023-11-06 13:43:31.046000,,BHC Armstrong,53,AS--53,63e57643-60af-4551-9e2d-f8e5e0dc5f49,,,,,,True,False,,,BHC 22C,NONE,R.Arias,2022-06-15,2022-06-15,Struc Tech,2022-08-11,2022-04-29,Koontz,2022-05-06,2022-05-17,Richmond,2022-05-19,2022-10-03,,,2022-10-05,
2023-11-06 13:43:31.047000,,BHC Armstrong,45&46,AS-2-45&46,5f447f18-de01-4db7-af80-fdc8c478c6af,2,,,,,True,False,,,BHC 22F,CUSTOM,R.Arias,,2022-12-02,Struc Tech,2022-12-02,2022-12-09,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-04-26,,,2023-04-26,
2023-11-06 13:43:31.047000,,The Preserve,413,PR-1-413,35067563-553f-4b5f-afc0-7dcff02e50a1,1,2023-04-13 00:00:00,,,,False,False,2025-05-04,Permit & Hold,Pearl Terrace,20 - Craftsman,Y.Wang,2025-05-04,2025-05-16,Riverside,2025-05-17,2025-06-04,Foresite,2025-05-17,2025-05-29,Montgomery,2025-06-19,2025-07-17,R.Arias,2025-05-11 04:00:00,,"new SPEC kicked out 08/09/2023
new SPEC (again) - 05-01-2025
BBP- on hold"
2023-11-06 13:43:31.047000,,BHC Armstrong,54 & 55,AS--54 & 55,36ed4cc8-91c4-407a-99da-07b2055dfbfb,,,,,,True,False,,,BHC 22F,NONE,R.Arias,2022-06-15,2022-06-15,Struc Tech,2022-08-11,2022-04-29,Koontz,,2022-05-17,Richmond,2022-05-19,2022-10-13,,,2022-10-18,
2023-11-06 13:43:31.047000,,BHC Armstrong,63,AS-2-63,a3d493f2-c32a-4c45-856a-dd2a3efe522b,2,,,,,True,False,,,BHC 22B,CUSTOM,R.Arias,,,Struc Tech,2022-12-02,2022-12-29,Koontz,2023-01-17,2023-01-31,Richmond,2023-02-14,2023-03-13,,,2023-03-10,
2023-11-06 13:43:31.048000,,Womack,30,WM-1-30,9aa3bad1-47af-45d3-8d65-715cbefb5d6f,1,2023-07-20 00:00:00,,,,True,False,2025-03-15,SPEC,Magnolia,10 - Traditional,Y.Wang,2025-03-22,2025-03-22,Kempsville,2025-03-22,2025-03-27,High Mark,2025-03-25,2025-04-24,Chesterfield,2025-04-25,2025-05-06,R.Arias,2025-03-26 04:00:00,2025-05-08,"Originally SPEC'd on 7/2023 as Bellavue & BBPs posted 8/2023
Kicked to dirt on 8/2023
reassigned to YENA on 3/20/25
"
2023-11-21 14:58:49.597000,sreddy@tecofva.com,Readers Branch,42,RB-4-42,7c4ab91b-29cb-4bbd-b8bf-962c575d3438,4,,,,,True,False,,SPEC,Linden III,10 - Traditional,C.Zobel,,2023-10-25,Struc Tech,2023-10-27,2023-11-01,EDA,2023-10-27,2023-11-01,Goochland,,2023-11-29,,,2023-11-29,
2023-11-21 14:27:18.841000,sreddy@tecofva.com,The Preserve,564,PR-1-564,cc004159-410e-4861-b5e9-fe417e3bb7ee,1,,,,,True,False,,,Savannah,A - Folk Victorian,C.Zobel,,2023-11-15,Riverside,2023-11-16,2023-11-20,Gay and Neel,2023-11-28,2023-12-06,,,,,,2024-01-10,
2023-11-21 14:59:33.989000,sreddy@tecofva.com,Readers Branch,59,RB-5-59,c9fffee5-1262-439d-b139-f4147c985753,5,,,,,True,False,,SPEC,Corvallis,Colonial,K.Fadl,,2023-12-04,Struc Tech,2023-11-06,2023-11-10,EDA,2023-11-06,2023-12-17,Goochland,,,,,2024-01-18,
2024-11-11 13:19:01.810000,kfadl@tecofva.com,Row at Westhampton,32,RW-1-32,b1b6bf2c-66c8-4b7e-92fc-a308b67bee9f,1,,,,,True,False,,,,,,,,,,,,,,,,,,,,
2025-01-08 14:11:33.701000,kfadl@tecofva.com,Readers Branch,35,RB-6-35,b403b0fc-02c6-43e9-bc83-2c833f747414,6,,,,,True,False,2025-01-02,Contract,Carlisle,10 - Traditional,R.Arias,2025-01-18,2025-02-05,Struc Tech,2025-02-07,2025-02-15,EDA,2025-02-07,2025-02-12,Goochland,2025-02-19,2025-03-18,R.Arias,2025-02-20 01:00:00,2025-03-20,LF DUE 01/14/25
2025-01-08 14:58:44.800000,kfadl@tecofva.com,Sweetspire,18,SP-0-18,b6872dec-b8be-4314-b4c6-109947e71559,0,,,,,True,False,2025-01-02,Contract,Fulton Terrace,A - Colonial,C.Zobel,2025-02-20,2025-02-27,HBS,2025-02-27,2025-03-14,EDA,2025-02-27,2025-04-04,Henrico,2025-04-10,2025-05-07,R.Arias,2025-03-06 12:00:00,2025-05-07,"LF issue: 2/25/25 basement window location for future cabinets and furnace relocation
Permit submitted with Cast-in-place changes. 
7-11-2025 Late LF after BBPs add door on bearing wall."
2025-02-03 12:48:27.444000,kfadl@tecofva.com,Readers Branch,36,RB-7-36,edf02a72-a720-4b37-bc50-ad207913946a,7,,,,,True,False,2025-01-28,Contract,Linden III,30 - Craftsman,C.Zobel,,,HBS,,,EDA,,,Goochland,,,,,,"W/ BASEMENT

lot changed to RB 15-7 2/25/25 with additional lifestyle changes"
2023-11-21 14:53:32.886000,sreddy@tecofva.com,Readers Branch,07,RB-4-07,ba9cbdfe-5fa7-4a8b-aa9c-f5912a65d1b5,4,,,,,True,False,,SPEC,Belmont Terrace,Craftsman,C.Zobel,,2023-10-24,HBS,2023-10-24,2023-11-09,EDA,2023-10-24,2023-10-31,Goochland,,2023-11-29,,,2023-11-30,
