lot_status_finished,lot_status_released,contract_date,contract_type,product_name,elevation_name,drafting_drafter,drafting_assigned_on,drafting_finished,engineering_engineer,engineering_sent,engineering_received,plat_engineer,plat_sent,plat_received,permitting_county_name,permitting_submitted,permitting_received,homesiting_completed_by,homesiting_completed_on,bbp_posted,notes
False,False,2024-09-24,Contract,Azalea Ranch,Craftsman,L.Rodgers,2024-10-05,2024-10-10,Kempsville,2024-10-10,2024-10-23,Koontz,2024-10-10,2024-10-25,Henrico,2024-11-07,2024-12-03,R.Arias,2024-10-25T04:00:00.000Z,2024-12-04,"permit & hold 5/11/23
BBPs 7/27/2023
kicked to dirt 9/20/24
New Contracted home 09/23/24"
False,False,2024-08-09,Permit & Hold,Pearl Terrace,20 - Craftsman,C.Zobel,2024-08-23,2024-08-23,Riverside,2024-08-23,2024-09-04,Foresite,2024-08-27,2024-09-07,Montgomery,2024-09-09,,R.Arias,2024-08-26T04:00:00.000Z,,"Original Corvallis draft completed 08/03/23
Redraft new spec 08/07/2024"
True,False,2024-01-03,SPEC,Helena,20 - Arts & Crafts,C.Zobel,2024-01-03,2024-01-05,Struc Tech,2024-01-09,2024-01-12,EDA,2024-01-09,2024-01-18,Hanover,,,R.Arias,2024-01-31T05:00:00.000Z,2024-02-16,
True,False,2024-01-03,SPEC,Linden III,20 - Craftsman,C.Zobel,2024-01-04,2024-01-04,Struc Tech,2024-01-09,2024-01-13,EDA,2024-01-09,2024-01-11,Goochland,2024-01-23,2024-02-16,A.Ward,2024-01-12T05:00:00.000Z,2024-02-16,
True,False,2024-01-04,Permit & Hold,Cedar,20 - Craftsman,R.Arias,2024-01-04,2024-01-11,Kempsville,2024-01-11,2024-01-19,High Mark,2024-01-31,2024-04-05,Chesterfield,2024-04-08,2024-04-18,R.Arias,2024-01-30T05:00:00.000Z,2024-04-18,Permit & Hold
True,False,2024-01-03,Permit & Hold,Cedar,30 - Arts & Crafts,C.Zobel,2024-01-03,2024-01-09,Kempsville,2024-01-09,2024-01-19,High Mark,2024-01-31,2024-04-05,Chesterfield,,,R.Arias,2024-01-30T05:00:00.000Z,2024-04-11,
False,False,2024-01-03,Permit & Hold,Cedar,10 - Traditional,C.Zobel,2024-01-03,2024-01-10,Kempsville,2024-01-11,2024-01-19,High Mark,2024-01-31,2024-04-05,Chesterfield,2024-04-08,2024-04-11,R.Arias,2024-01-30T05:00:00.000Z,2024-04-15,
False,False,2024-11-01,Contract,Magnolia,40 - European,L.Rodgers,2024-11-16,2024-11-21,Kempsville,2024-11-22,2024-11-28,High Mark,2024-11-22,2024-12-02,Chesterfield,2024-12-03,2024-12-04,R.Arias,2024-11-21T05:00:00.000Z,2024-12-11,"Permit & Hold
BPPS COMPLETE: 4/19/2024

CHANGED TO TBB  on 10/28/24

KINAN COMPLETED BBPS ON 12/11/24"
True,False,2024-01-01,Contract,Belmont,30 - Arts & Crafts,C.Zobel,2024-01-03,2024-01-16,Struc Tech,2024-01-19,2024-01-22,EDA,2024-01-19,2024-02-19,Goochland,,,R.Arias,2024-02-21T05:00:00.000Z,2024-03-26,
True,False,2024-01-01,Contract,Corvallis,40 - European,R.Arias,2024-01-03,2024-01-24,Riverside,2024-02-26,2024-03-06,Gay and Neel,2024-02-26,2024-03-08,Christiansburg,2024-03-12,2024-04-02,R.Arias,2024-02-26T05:00:00.000Z,2024-04-02,Lifestyle options had a clash; did not get an answer from Mitchell until Kendall and Wes got involved; addendum correcting clash came in 02/26
True,False,2024-01-10,SPEC,Savannah,A - Folk Victorian,C.Zobel,2024-01-10,2024-01-12,Struc Tech,2024-01-11,2024-01-22,EDA,2024-01-11,2024-01-22,Hanover,,,R.Arias,2024-01-31T05:00:00.000Z,2024-02-16,
True,False,2024-01-10,SPEC,Helena,20 - Arts & Crafts,R.Arias,2024-01-10,2024-01-12,Struc Tech,2024-01-13,2024-01-20,EDA,2024-01-13,2024-01-24,Hanover,2024-01-26,2024-02-22,R.Arias,2024-01-31T05:00:00.000Z,2024-02-23,
True,False,2024-01-11,SPEC,Linden Terrace,25 - Folk Victorian,C.Zobel,2024-01-11,2024-01-14,HBS,2024-01-16,2024-01-26,EDA,2024-01-16,2024-01-24,Goochland,2024-01-29,2024-02-15,A.Ward,2024-01-24T05:00:00.000Z,2024-02-17,
False,False,2024-01-10,Permit & Hold,Hartford Terrace,10 - Traditional,C.Zobel,2024-01-10,2024-03-12,HBS,2024-03-12,2024-03-28,EDA,2024-03-02,2024-03-09,Goochland,2024-05-13,,R.Arias,2024-03-14T04:00:00.000Z,,ON HOLD - LOT FIT ISSUE
False,False,2024-01-11,Permit & Hold,Linden Terrace,30 - Craftsman,C.Zobel,2024-01-15,2024-01-17,HBS,2024-03-13,2024-03-27,EDA,2024-01-19,2024-03-07,Goochland,2024-04-01,,R.Arias,2024-03-14T04:00:00.000Z,,ON HOLD - LOT FIT ISSUE
True,False,2024-01-10,SPEC,Cedar,20 - Craftsman,L.Rodgers,2024-01-10,2024-01-24,Kempsville,2024-01-24,2024-02-10,Koontz,2024-01-24,2024-02-02,Henrico,2024-02-16,2024-02-27,A.Ward,2024-02-15T05:00:00.000Z,2024-03-25,
True,False,2024-01-16,Contract,Belmont,30 - Arts & Crafts,C.Zobel,2024-01-18,2024-01-25,Struc Tech,2024-01-25,2024-01-26,EDA,2024-01-25,2024-01-29,Goochland,,,R.Arias,2024-01-31T05:00:00.000Z,2024-03-01,
True,False,2024-01-16,Contract,Linden III,25 - Folk Victorian,C.Zobel,2024-01-18,2024-02-02,Struc Tech,2024-02-02,2024-02-08,EDA,2024-02-19,2024-02-21,Goochland,,,R.Arias,2024-02-22T05:00:00.000Z,2024-03-26,
True,False,2024-01-18,Permit & Hold,Bellavue,10 - Traditional,C.Zobel,2024-01-18,2024-02-01,Kempsville,2024-01-31,2024-02-15,Koontz,2024-01-31,2024-02-13,Henrico,,,R.Arias,2024-02-27T05:00:00.000Z,2024-03-06,
True,False,2024-01-24,Contract,Hartford II,BSE - Arts & Crafts,C.Zobel,2024-01-24,2024-02-07,Struc Tech,2024-02-08,2024-02-12,EDA,2024-02-20,2024-02-22,Goochland,,,R.Arias,2024-02-22T05:00:00.000Z,2024-03-26,
False,False,2024-01-25,SPEC,Pembroke,10 - Traditional,C.Zobel,2024-01-25,2024-02-20,Kempsville,2024-02-28,2024-03-19,AES,2024-06-18,2024-08-12,James City,2024-08-21,,,,,
True,False,2024-02-02,Contract,Linden Terrace,30 - Craftsman,C.Zobel,2024-03-26,2024-04-04,HBS,2024-04-05,2024-04-22,EDA,2024-04-05,2024-04-15,Goochland,2024-04-26,,R.Arias,2024-04-15T04:00:00.000Z,2024-05-29,
True,False,2024-02-02,Contract,Westminster,BSE - Arts & Crafts,C.Zobel,2024-03-06,2024-03-16,Riverside,2024-03-19,2024-04-03,Gay and Neel,2024-04-05,2024-04-13,Blacksburg,2024-04-24,2024-06-10,R.Arias,2024-03-22T04:00:00.000Z,2024-06-11,Basement
True,False,2024-02-07,Contract,Linden Terrace,25 - Folk Victorian,C.Zobel,2024-03-22,2024-04-09,Riverside,2024-04-10,2024-04-20,Gay and Neel,2024-04-10,2024-04-18,Blacksburg,2024-04-24,2024-06-10,R.Arias,2024-04-09T04:00:00.000Z,2024-06-11,
True,False,2024-02-14,Contract,Linden III,30 - Craftsman,C.Zobel,2024-03-06,2024-03-26,Riverside,2024-03-29,2024-04-20,Gay and Neel,2024-04-04,2024-04-24,Christiansburg,2024-04-26,2024-06-04,R.Arias,2024-05-07T04:00:00.000Z,2024-06-04,
True,False,2024-02-20,Contract,Corvallis,20 - Colonial,C.Zobel,2024-02-22,2024-03-20,Struc Tech,2024-03-21,2024-03-23,EDA,2024-03-21,2024-03-23,Goochland,2024-04-02,2024-08-07,R.Arias,2024-04-04T04:00:00.000Z,2024-08-06,
True,False,2024-02-27,Contract,Savannah,BSE - Arts & Crafts,C.Zobel,2024-02-28,2024-03-30,Struc Tech,2024-04-02,2024-04-10,EDA,2024-04-02,2024-04-12,Hanover,2024-04-17,2024-05-02,R.Arias,2024-04-17T04:00:00.000Z,2024-05-02,
True,False,2024-02-28,Contract,Corvallis,30 - Craftsman,R.Arias,2024-03-12,2024-03-19,Riverside,2024-03-28,2024-04-12,Gay and Neel,2024-03-28,,Christiansburg,2024-04-17,2024-06-06,R.Arias,2024-03-22T04:00:00.000Z,2024-06-06,Basement or tall crawl space
True,False,2024-02-27,Contract,Linden Terrace,30 - Craftsman,C.Zobel,2024-03-26,2024-04-03,HBS,2024-04-03,2024-04-18,EDA,2024-04-03,2024-04-16,Goochland,2024-04-26,,R.Arias,2024-04-15T04:00:00.000Z,2024-05-29,
True,False,2024-02-28,Contract,Hadley,25 - Folk Victorian,L.Rodgers,2024-04-16,2024-04-25,Struc Tech,2024-04-25,2024-05-04,EDA,2024-04-25,2024-05-03,Goochland,2024-05-07,2024-06-26,R.Arias,2024-06-26T04:00:00.000Z,2024-06-26,
